Ligand;ID;Smiles;MW;logP;logD;logSw;tPSA;RotatableB;RigidB;Flexibility;HBD;HBA;HBD_HBA;Rings;MaxSizeRing;NumCharges;TotalCharge;HeavyAtoms;CarbonAtoms;HeteroAtoms;ratioH/C;Lipinski_Violation;Solubility(mg/l);SolubilityForecastIndex;Oral_Bioavailability_VEBER;Oral_Bioavailability_EGAN;TrafficLights;4_400;3_75;Phospholipidosis;Fsp3;StereoCenters;PPI_Friendly;Functionnal_Group;Result;Alert
1;4_[_1E__2_carboxyeth_1_en_1_yl]_2_methoxybenzen_1_olate_1_1;COc1cc(\C=C\C(O)=O)ccc1O;194.18;1.51;-1.6;-1.98;69.590000;3;8;0.270000;2;4;6;1;6;1;-1;14;10;4;0.400000;0;26750.830000;Good Solubility;Good;Good;0;good;warning;NonInducer;0.100000;0;Not Computed;Yes;Rejected;High_Risk_michael_acceptors
2;2__3_4_dioxidophenyl__4_oxo_4H_chromene_3_5_7_tris_olate__2_2;Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O;302.24;1.54;1.01;-2.99;131.030000;1;18;0.050000;5;7;12;2;10;0;0;22;15;7;0.470000;0;15228.150000;Good Solubility;Good;Good;1;good;good;NonInducer;0.000000;0;Not Computed;Yes;Rejected;Aggregator_Quercetin,Low_Risk_catechol
3;2__4_oxidophenyl__4_oxo_4H_chromene_3_5_7_tris_olate__3_3;Oc1ccc(cc1)-c1oc2cc(O)cc(O)c2c(=O)c1O;286.24;1.9;1.35;-3.13;110.800000;1;18;0.050000;4;6;10;2;10;0;0;21;15;6;0.400000;0;12543.680000;Good Solubility;Good;Good;0;good;good;NonInducer;0.000000;0;Not Computed;Yes;Intermediate;Low_Risk_phenol
4;5_methyl_2_octyl_2_3_dihydrofuran_3_one_4_4;CCCCCCCCC1OC(C)=CC1=O;210.31;4.42;3.88;-3.47;26.300000;7;6;0.540000;0;2;2;1;5;0;0;15;13;2;0.150000;0;6567.000000;Good Solubility;Good;Good;1;good;bad;NonInducer;0.770000;1;Not Computed;Yes;Rejected;High_Risk_consecutive_alkyl_chains
5;4_oxo_2__3_4_5_trioxidophenyl__4H_chromene_3_5_7_tris_olate__5_5;Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O;318.24;1.18;0.63;-2.85;151.260000;1;18;0.050000;6;8;14;2;10;0;0;23;15;8;0.530000;1;18421.990000;Good Solubility;Good;Good;2;good;good;NonInducer;0.000000;0;Not Computed;Yes;Rejected;Aggregator_Quercetin,High_Risk_catechol
6;2_4_6_triethyl_1_3_5_dithiazinane_6_6;CCC1NC(CC)SC(CC)S1;205.38;4.04;3.27;-3.46;62.630000;3;6;0.330000;1;1;2;1;6;0;0;12;9;3;0.330000;0;6451.420000;Good Solubility;Good;Good;1;good;bad;NonInducer;1.000000;3;Not Computed;No;Accepted
7;4_carboxy_2_methoxybenzen_1_olate_7_7;COc1cc(ccc1O)C(O)=O;168.15;1.43;-1.89;-1.87;69.590000;2;7;0.220000;2;4;6;1;6;1;-1;12;8;4;0.500000;0;25827.180000;Good Solubility;Good;Good;0;good;warning;NonInducer;0.130000;0;Not Computed;No;Accepted
9;5_methyl_2__propan_2_yl_cyclohexan_1_ol_9_9;CC(C)C1CCC(C)CC1O;156.27;3.4;2.66;-2.88;20.230000;1;6;0.140000;1;1;2;1;6;0;0;11;10;1;0.100000;0;8729.520000;Good Solubility;Good;Good;1;good;bad;NonInducer;1.000000;3;Not Computed;No;Accepted
10;2_carboxybenzene_1_3_bis_olate__10_10;OC(=O)c1c(O)cccc1O;154.12;2.2;-1.2;-2.38;80.590000;1;7;0.130000;3;4;7;1;6;1;-1;11;7;4;0.570000;0;14310.750000;Good Solubility;Good;Good;0;good;good;NonInducer;0.000000;0;Not Computed;No;Accepted
11;2__3_methoxy_4_oxidophenyl__3_{[3_4_5_trihydroxy_6__hydroxymethyl_oxan_2_yl]oxy}chromene_5_7_bis_olate__11_11;COC1[CH]C([CH][CH]C1O)C1OC2[CH]C(O)[CH]C(O)C2[CH]C1OC1OC(CO)C(O)C(O)C1O;472.48;-1.96;-3.18;-1.2;178.530000;5;23;0.180000;7;11;18;3;10;0;0;33;22;11;0.500000;2;141656.860000;Good Solubility;Good;Good;3;good;good;NonInducer;1.000000;14;Not Computed;No;Accepted
12;tridecan_2_one_12_12;CCCCCCCCCCCC(C)=O;198.34;5.17;4.81;-3.67;17.070000;10;1;0.910000;0;1;1;0;0;0;0;14;13;1;0.080000;1;5069.130000;Good Solubility;Good;Good;3;good;bad;NonInducer;0.920000;0;Not Computed;Yes;Rejected;High_Risk_consecutive_alkyl_chains,High_Risk_aliphatic_ketone
